user_rating_id,anime_id,user_id,user_rating

48,8074,1,10

82,11617,1,10

84,11757,1,10

102,15451,1,10

154,11771,2,10

157,20,3,8

158,154,3,6

159,170,3,9

160,199,3,10

161,225,3,9

162,341,3,6

163,430,3,7

164,527,3,7

165,552,3,7

166,813,3,10

167,1119,3,7

168,1121,3,7

169,1122,3,7

170,1132,3,8

171,1292,3,6

172,1313,3,8

173,1526,3,7

174,1535,3,10

175,1564,3,7

176,1689,3,8

177,1764,3,6

178,1943,3,8

179,2201,3,7

180,2404,3,7

181,2847,3,7

182,3588,3,8

183,4026,3,7

184,5114,3,10

185,5231,3,8

186,6178,3,7

187,6702,3,8

188,6880,3,6

189,7695,3,7

190,8074,3,6

191,9107,3,6

192,9135,3,7

193,9760,3,9

194,9917,3,8

195,9919,3,8

196,9989,3,10

197,10408,3,7

198,10507,3,8

199,11111,3,8

200,11703,3,6

201,11737,3,7

202,11757,3,9

203,11759,3,7

204,11771,3,10

205,12671,3,3

206,14075,3,8

207,14093,3,7

208,14345,3,8

209,14513,3,10

210,16498,3,10

211,16512,3,5

212,16782,3,7

213,16894,3,10

214,16918,3,8

215,17265,3,7

216,18097,3,7

217,18115,3,10

218,18393,3,7

219,19315,3,3

220,19815,3,9

221,20021,3,5

222,20159,3,10

223,20507,3,8

224,20583,3,9

225,21507,3,6

226,21881,3,7

227,22199,3,8

228,22297,3,8

229,22319,3,6

230,22547,3,6

231,22729,3,7

232,23301,3,8

233,23321,3,6

234,23333,3,4

235,23755,3,8

236,24415,3,10

237,26243,3,6

238,27631,3,8

239,27899,3,8

240,28121,3,9

241,28171,3,10

242,28223,3,6

243,28497,3,7

244,28701,3,9

245,28891,3,9

246,29854,3,6

249,31043,3,10

250,31859,3,7

303,6,5,8

304,15,5,6

305,17,5,6

306,18,5,6

307,20,5,6

308,22,5,5

309,24,5,1

310,30,5,1

311,45,5,7

312,47,5,8

313,57,5,7

314,63,5,1

315,67,5,6

316,68,5,6

317,132,5,6

318,136,5,8

319,137,5,8

320,138,5,6

321,139,5,6

322,150,5,2

323,152,5,4

324,166,5,6

325,170,5,6

326,174,5,5

327,185,5,6

328,186,5,6

329,189,5,1

330,190,5,1

331,195,5,4

332,199,5,8

333,205,5,8

334,223,5,6

335,225,5,1

336,232,5,3

337,240,5,4

338,241,5,1

339,245,5,10

340,248,5,1

341,249,5,1

342,250,5,5

343,263,5,7

344,264,5,8

345,265,5,7

346,268,5,7

347,269,5,3

348,272,5,5

349,288,5,2

350,292,5,7

351,335,5,3

352,344,5,7

353,371,5,3

354,379,5,6

355,390,5,3

356,392,5,7

357,406,5,6

358,442,5,4

359,443,5,4

360,448,5,3

361,481,5,3

362,482,5,5

363,487,5,1

364,508,5,3

365,517,5,3

366,527,5,6

367,528,5,7

368,534,5,7

369,550,5,2

370,552,5,7

371,709,5,6

372,760,5,2

373,761,5,5

374,813,5,5

375,846,5,1

376,861,5,2

377,874,5,7

378,896,5,4

